epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4365.51,1.57594,1.12124,1.22543,0.83092,0.75561,0.836,0.5466,1.33307,0.84349,1.19061,0.00863875,0.00863875,0.00863875
57,4443.19,1.59194,1.12599,1.22517,0.81929,0.76906,0.84299,0.55142,1.31079,0.85992,1.18696,0.008614,0.008614,0.008614
58,4521.02,1.58106,1.11706,1.23117,0.80577,0.79223,0.84273,0.54861,1.31542,0.84976,1.19659,0.00858925,0.00858925,0.00858925
59,4599.18,1.56204,1.11444,1.22975,0.83409,0.77354,0.84622,0.55877,1.29967,0.83151,1.18589,0.0085645,0.0085645,0.0085645
60,4676.98,1.55008,1.09462,1.21605,0.82414,0.7728,0.84788,0.56118,1.31341,0.85029,1.1831,0.00853975,0.00853975,0.00853975
61,4754.71,1.56533,1.11611,1.22453,0.81064,0.77748,0.84322,0.55439,1.31947,0.86913,1.18519,0.008515,0.008515,0.008515
62,4832.36,1.55372,1.09812,1.21827,0.83474,0.76906,0.84282,0.55177,1.28157,0.85027,1.17386,0.00849025,0.00849025,0.00849025
63,4909.87,1.53042,1.08698,1.20893,0.81832,0.79148,0.85417,0.5658,1.27444,0.84672,1.16894,0.0084655,0.0084655,0.0084655
64,4987.78,1.55697,1.09487,1.22992,0.82525,0.76831,0.84196,0.57165,1.28191,0.83819,1.17741,0.00844075,0.00844075,0.00844075
65,5065.61,1.54972,1.08974,1.21662,0.83033,0.7827,0.85697,0.56755,1.30031,0.83394,1.18253,0.008416,0.008416,0.008416
66,5143.22,1.55631,1.0823,1.21197,0.82024,0.77075,0.84938,0.56218,1.28716,0.81937,1.17135,0.00839125,0.00839125,0.00839125
67,5220.9,1.54346,1.08073,1.2074,0.8252,0.78678,0.86913,0.57696,1.27016,0.80656,1.15241,0.0083665,0.0083665,0.0083665
68,5298.65,1.54985,1.07003,1.20328,0.8194,0.79746,0.86012,0.57317,1.27549,0.81858,1.15718,0.00834175,0.00834175,0.00834175
69,5376.49,1.53329,1.06891,1.19849,0.83036,0.79022,0.86069,0.56777,1.29424,0.82156,1.16318,0.008317,0.008317,0.008317
70,5454.68,1.53648,1.06816,1.20156,0.83515,0.78924,0.85919,0.56917,1.27438,0.81805,1.16585,0.00829225,0.00829225,0.00829225
71,5532.83,1.53008,1.07425,1.20869,0.84509,0.77803,0.85566,0.57496,1.31717,0.79441,1.18299,0.0082675,0.0082675,0.0082675
72,5610.57,1.54071,1.0715,1.2045,0.83955,0.79372,0.86636,0.57668,1.26766,0.81026,1.15086,0.00824275,0.00824275,0.00824275
73,5688.23,1.51412,1.05428,1.20233,0.81842,0.7997,0.86134,0.57708,1.27043,0.81134,1.15421,0.008218,0.008218,0.008218
74,5766.45,1.53707,1.0674,1.20368,0.82331,0.80045,0.86814,0.57558,1.25476,0.80031,1.14851,0.00819325,0.00819325,0.00819325
75,5844.33,1.52632,1.06534,1.20334,0.81537,0.79543,0.86119,0.57799,1.25612,0.79724,1.15084,0.0081685,0.0081685,0.0081685
76,5922.2,1.52249,1.05746,1.20213,0.81819,0.78401,0.85195,0.57037,1.27137,0.79982,1.16216,0.00814375,0.00814375,0.00814375
77,5999.96,1.51469,1.04706,1.19849,0.83426,0.80269,0.86681,0.58435,1.25317,0.78071,1.1503,0.008119,0.008119,0.008119
78,6077.93,1.51107,1.0539,1.19807,0.8225,0.79073,0.86712,0.57502,1.2656,0.80483,1.15926,0.00809425,0.00809425,0.00809425
79,6155.66,1.51127,1.0443,1.20063,0.83089,0.79148,0.86591,0.5824,1.24913,0.79088,1.14555,0.0080695,0.0080695,0.0080695
80,6233.6,1.50784,1.03438,1.1923,0.84436,0.80419,0.87811,0.5965,1.26015,0.76622,1.16384,0.00804475,0.00804475,0.00804475
81,6311.36,1.50301,1.03212,1.19292,0.82883,0.81465,0.87662,0.59702,1.26119,0.76095,1.15425,0.00802,0.00802,0.00802
82,6388.93,1.49918,1.03264,1.19773,0.82236,0.80617,0.87167,0.57869,1.27203,0.80177,1.1614,0.00799525,0.00799525,0.00799525
83,6466.95,1.49868,1.0265,1.19016,0.85116,0.78924,0.87579,0.57984,1.26172,0.78675,1.15518,0.0079705,0.0079705,0.0079705
84,6544.71,1.50787,1.03924,1.18847,0.81159,0.78625,0.85648,0.57278,1.24903,0.79377,1.14514,0.00794575,0.00794575,0.00794575
85,6622.48,1.49528,1.02725,1.1939,0.79833,0.8012,0.85417,0.57628,1.26062,0.79742,1.15244,0.007921,0.007921,0.007921
86,6700.6,1.50524,1.03951,1.18484,0.84085,0.80867,0.87402,0.5864,1.25422,0.77316,1.15,0.00789625,0.00789625,0.00789625
87,6778.38,1.50822,1.0462,1.1966,0.81931,0.80493,0.86724,0.5807,1.25179,0.79299,1.14306,0.0078715,0.0078715,0.0078715
88,6856.48,1.50094,1.03169,1.18517,0.82475,0.7984,0.86659,0.58093,1.25912,0.78492,1.1526,0.00784675,0.00784675,0.00784675
89,6934.47,1.48855,1.01976,1.18456,0.81639,0.80942,0.86983,0.58468,1.24523,0.77523,1.14815,0.007822,0.007822,0.007822
90,7012.3,1.49317,1.02564,1.19432,0.85712,0.78849,0.87848,0.59227,1.243,0.76114,1.14908,0.00779725,0.00779725,0.00779725
91,7089.94,1.47973,1.00863,1.17676,0.83889,0.8154,0.87733,0.59285,1.24538,0.76649,1.14452,0.0077725,0.0077725,0.0077725
92,7167.75,1.50235,1.01996,1.19669,0.83176,0.80549,0.87538,0.58948,1.24443,0.76797,1.14358,0.00774775,0.00774775,0.00774775
93,7245.73,1.49595,1.02057,1.18565,0.8262,0.8065,0.87066,0.58753,1.26052,0.76916,1.15604,0.007723,0.007723,0.007723
94,7323.75,1.4923,1.02019,1.18568,0.84363,0.79746,0.8807,0.59319,1.24309,0.75879,1.14662,0.00769825,0.00769825,0.00769825
95,7401.76,1.48874,1.01501,1.18385,0.83465,0.80355,0.87942,0.59452,1.25194,0.7516,1.15252,0.0076735,0.0076735,0.0076735
96,7479.49,1.48549,0.99382,1.17191,0.82951,0.81457,0.87532,0.59429,1.24124,0.75022,1.15226,0.00764875,0.00764875,0.00764875
97,7557.77,1.49042,1.00768,1.1796,0.82984,0.80493,0.87786,0.59094,1.23973,0.75455,1.14768,0.007624,0.007624,0.007624
98,7635.96,1.47238,1.00925,1.16725,0.84098,0.79446,0.87077,0.58956,1.23646,0.76014,1.14475,0.00759925,0.00759925,0.00759925
99,7713.85,1.4765,1.01293,1.17899,0.84165,0.79223,0.88146,0.59663,1.23764,0.7495,1.14843,0.0075745,0.0075745,0.0075745
100,7791.84,1.46477,0.98141,1.17247,0.8393,0.80018,0.88115,0.59705,1.25069,0.73672,1.15407,0.00754975,0.00754975,0.00754975
101,7869.54,1.4711,1.00114,1.16892,0.83413,0.80433,0.87425,0.59216,1.24205,0.74709,1.14908,0.007525,0.007525,0.007525
102,7947.07,1.46826,1.00027,1.17791,0.82231,0.82287,0.87587,0.59108,1.24218,0.74726,1.15217,0.00750025,0.00750025,0.00750025
103,8025.21,1.47112,0.99299,1.17716,0.82383,0.8012,0.87273,0.59176,1.24532,0.76057,1.14789,0.0074755,0.0074755,0.0074755
104,8102.85,1.46868,0.99785,1.17546,0.84343,0.79895,0.88124,0.59764,1.24266,0.74339,1.14781,0.00745075,0.00745075,0.00745075
105,8180.75,1.45565,0.98213,1.16618,0.81331,0.82378,0.87918,0.59532,1.25281,0.76089,1.14919,0.007426,0.007426,0.007426
106,8258.92,1.47652,0.99793,1.17825,0.81271,0.81728,0.87739,0.59791,1.25126,0.75099,1.14926,0.00740125,0.00740125,0.00740125
107,8336.75,1.46612,1.00442,1.16965,0.83089,0.81888,0.8756,0.5963,1.24018,0.74818,1.14709,0.0073765,0.0073765,0.0073765
108,8414.49,1.45894,0.97646,1.16603,0.8406,0.81587,0.88214,0.60076,1.23151,0.73877,1.14445,0.00735175,0.00735175,0.00735175
109,8492.71,1.45764,0.97442,1.16826,0.84765,0.81505,0.8873,0.60076,1.24579,0.73516,1.14919,0.007327,0.007327,0.007327
110,8570.47,1.46898,0.99881,1.17937,0.82812,0.82063,0.8823,0.60015,1.2397,0.73408,1.14955,0.00730225,0.00730225,0.00730225
111,8648.29,1.45395,0.9752,1.16337,0.81265,0.8139,0.86915,0.58648,1.22432,0.75035,1.13574,0.0072775,0.0072775,0.0072775
112,8726.48,1.45514,0.98052,1.15928,0.83055,0.82138,0.87816,0.59868,1.21356,0.74296,1.13088,0.00725275,0.00725275,0.00725275
113,8804.37,1.44495,0.96703,1.15731,0.83836,0.82177,0.8839,0.60281,1.22366,0.74105,1.13807,0.007228,0.007228,0.007228
114,8882.22,1.45221,0.9761,1.16304,0.82079,0.82885,0.88581,0.60103,1.2211,0.74301,1.13529,0.00720325,0.00720325,0.00720325
115,8960.43,1.47182,0.98234,1.17322,0.83655,0.81689,0.88326,0.59908,1.22102,0.74005,1.13766,0.0071785,0.0071785,0.0071785
116,9037.87,1.43581,0.96455,1.15379,0.84866,0.80568,0.8844,0.60337,1.20495,0.73697,1.12872,0.00715375,0.00715375,0.00715375
