epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,10541.7,1.65557,2.12539,1.46511,0.77473,0.70845,0.75823,0.46991,1.07066,1.22674,1.11752,0.00816488,0.00816488,0.00816488
78,11420.4,1.66049,2.17993,1.46192,0.77398,0.71234,0.76176,0.47133,1.07064,1.22194,1.11725,0.00814073,0.00814073,0.00814073
79,12309.2,1.64398,2.1059,1.45655,0.77276,0.70943,0.76207,0.47094,1.06973,1.21822,1.11618,0.00811659,0.00811659,0.00811659
80,13198.3,1.6749,2.16099,1.4796,0.77232,0.71204,0.76169,0.47099,1.06726,1.21549,1.11483,0.00809244,0.00809244,0.00809244
81,14086.6,1.69652,2.19529,1.50416,0.77306,0.71505,0.76174,0.47117,1.06571,1.21336,1.11401,0.00806829,0.00806829,0.00806829
82,14973.9,1.64047,2.1466,1.44987,0.77127,0.71817,0.76251,0.4718,1.06395,1.21114,1.11256,0.00804415,0.00804415,0.00804415
83,15863,1.67779,2.16487,1.48066,0.77211,0.71137,0.76222,0.47182,1.06303,1.21062,1.11229,0.00802,0.00802,0.00802
84,16753.1,1.64731,2.13527,1.46089,0.7665,0.72098,0.76297,0.47232,1.06222,1.20901,1.11176,0.00799585,0.00799585,0.00799585
85,17633,1.64772,2.1416,1.43901,0.7601,0.72049,0.76038,0.47371,1.06193,1.20518,1.1114,0.00797171,0.00797171,0.00797171
86,18522.9,1.65139,2.09132,1.46426,0.76167,0.71743,0.76059,0.47293,1.06114,1.2031,1.11052,0.00794756,0.00794756,0.00794756
87,19412.5,1.67064,2.1337,1.47421,0.76537,0.72279,0.76313,0.47397,1.06073,1.1994,1.11004,0.00792341,0.00792341,0.00792341
88,20293.5,1.66303,2.13296,1.46171,0.76494,0.72106,0.76291,0.47407,1.05971,1.19691,1.10942,0.00789927,0.00789927,0.00789927
89,21173,1.61047,2.10701,1.42616,0.76716,0.72366,0.76459,0.47518,1.05909,1.1971,1.10898,0.00787512,0.00787512,0.00787512
90,22058.3,1.63239,2.09076,1.44962,0.77132,0.72114,0.76581,0.47641,1.05799,1.19532,1.1085,0.00785098,0.00785098,0.00785098
91,22945,1.64661,2.08159,1.45086,0.77227,0.72012,0.76483,0.4767,1.0574,1.19329,1.10833,0.00782683,0.00782683,0.00782683
92,23827.8,1.62551,2.10739,1.43197,0.77024,0.72324,0.76681,0.47847,1.05663,1.19091,1.10711,0.00780268,0.00780268,0.00780268
93,24713.4,1.67093,2.13186,1.46514,0.76915,0.73175,0.768,0.478,1.0566,1.18675,1.10751,0.00777854,0.00777854,0.00777854
94,25590.8,1.61969,2.05647,1.42855,0.77224,0.73081,0.7691,0.47915,1.0564,1.1816,1.10709,0.00775439,0.00775439,0.00775439
95,26472.5,1.63029,2.0868,1.43135,0.76865,0.72973,0.76856,0.47986,1.0562,1.17621,1.10718,0.00773024,0.00773024,0.00773024
96,27356.4,1.61876,2.09423,1.43144,0.77068,0.73081,0.7692,0.48081,1.05544,1.17456,1.10697,0.0077061,0.0077061,0.0077061
97,28238,1.63469,2.08596,1.44684,0.76735,0.73178,0.76919,0.48056,1.05472,1.17466,1.10573,0.00768195,0.00768195,0.00768195
98,29124.1,1.65409,2.09328,1.45633,0.77204,0.73066,0.77013,0.48098,1.05303,1.17356,1.10451,0.0076578,0.0076578,0.0076578
99,30006.6,1.63259,2.07175,1.44082,0.77023,0.733,0.77045,0.48199,1.05247,1.16847,1.10451,0.00763366,0.00763366,0.00763366
100,30883.2,1.66839,2.10628,1.45677,0.78252,0.72789,0.77108,0.48126,1.05122,1.16769,1.10365,0.00760951,0.00760951,0.00760951
101,31765.7,1.6295,2.03323,1.44566,0.78061,0.72886,0.77125,0.48092,1.04838,1.16587,1.10193,0.00758537,0.00758537,0.00758537
102,32674.4,1.63094,2.05675,1.44554,0.78721,0.72692,0.77104,0.48291,1.04786,1.16446,1.10199,0.00756122,0.00756122,0.00756122
103,33586.3,1.63735,2.04217,1.44845,0.7876,0.72073,0.76909,0.4825,1.04749,1.16186,1.10172,0.00753707,0.00753707,0.00753707
103,586.996,1.54789,1.96101,1.39964,0.78978,0.72886,0.77316,0.48301,1.04815,1.16027,1.10206,0.00753707,0.00753707,0.00753707
104,1170.22,1.58544,2.01941,1.41363,0.79157,0.72692,0.77367,0.48318,1.04751,1.1578,1.10191,0.00751293,0.00751293,0.00751293
105,1754.37,1.62743,2.03103,1.43232,0.78792,0.73293,0.77568,0.48517,1.04721,1.15483,1.10119,0.00748878,0.00748878,0.00748878
106,2332.44,1.58264,2.01278,1.42633,0.78757,0.73567,0.77741,0.48542,1.04603,1.1524,1.10091,0.00746463,0.00746463,0.00746463
107,2913.24,1.611,2.01005,1.42193,0.78842,0.73512,0.77737,0.48636,1.04291,1.14996,1.09997,0.00744049,0.00744049,0.00744049
108,3427.84,1.62365,2.11264,1.43855,0.79469,0.73178,0.77829,0.48551,1.04197,1.152,1.09919,0.00741634,0.00741634,0.00741634
109,3928,1.6397,2.06368,1.4393,0.79371,0.73288,0.777,0.48615,1.04108,1.15063,1.09948,0.0073922,0.0073922,0.0073922
110,4454.63,1.62565,2.03507,1.44578,0.79868,0.73253,0.7768,0.48681,1.04097,1.15079,1.09905,0.00736805,0.00736805,0.00736805
111,4972.8,1.62273,2.08965,1.43616,0.79832,0.73178,0.77735,0.48849,1.04078,1.15162,1.09833,0.0073439,0.0073439,0.0073439
