epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,14849,1.53872,1.65786,1.65204,0.83942,0.79103,0.84914,0.54962,1.23759,0.85512,1.53819,0.007855,0.007855,0.007855
67,15069,1.54215,1.65424,1.65525,0.85105,0.78149,0.84896,0.55086,1.23639,0.85594,1.53703,0.007822,0.007822,0.007822
68,15289.3,1.52637,1.6431,1.64999,0.84799,0.79008,0.85165,0.55223,1.23487,0.85288,1.53746,0.007789,0.007789,0.007789
69,15509.4,1.52234,1.61429,1.64605,0.83998,0.80143,0.85237,0.55293,1.23539,0.84849,1.53819,0.007756,0.007756,0.007756
70,15730.9,1.54586,1.64199,1.65527,0.84005,0.79676,0.85259,0.55386,1.23359,0.84557,1.53674,0.007723,0.007723,0.007723
71,15951.8,1.52178,1.60288,1.64014,0.84133,0.79676,0.85452,0.55581,1.23253,0.84386,1.53493,0.00769,0.00769,0.00769
72,16170.3,1.55638,1.60829,1.6781,0.84199,0.79962,0.85484,0.55735,1.2326,0.84181,1.53416,0.007657,0.007657,0.007657
73,16392,1.52219,1.58476,1.6584,0.84712,0.79389,0.85196,0.55627,1.23184,0.84006,1.53309,0.007624,0.007624,0.007624
74,16612.9,1.54163,1.61177,1.66145,0.84311,0.80153,0.85772,0.56002,1.2316,0.83725,1.53322,0.007591,0.007591,0.007591
75,16833.6,1.53674,1.61897,1.6553,0.8439,0.79962,0.85402,0.55968,1.23095,0.83665,1.53148,0.007558,0.007558,0.007558
76,17051.4,1.52849,1.5875,1.64502,0.83962,0.80248,0.85456,0.55915,1.23062,0.83494,1.53016,0.007525,0.007525,0.007525
77,17272.8,1.53041,1.58256,1.64295,0.83632,0.80439,0.85534,0.55885,1.22964,0.83121,1.52926,0.007492,0.007492,0.007492
78,17492.1,1.54633,1.59713,1.65901,0.83631,0.80725,0.85711,0.55788,1.22956,0.82773,1.5288,0.007459,0.007459,0.007459
79,17709.1,1.53174,1.60332,1.65495,0.83979,0.79676,0.85641,0.55908,1.22891,0.82696,1.52885,0.007426,0.007426,0.007426
80,17930.1,1.52978,1.58822,1.63813,0.83982,0.79544,0.85566,0.55978,1.22855,0.8248,1.52825,0.007393,0.007393,0.007393
81,18147.2,1.53823,1.58692,1.64828,0.84049,0.7958,0.85629,0.55966,1.22761,0.82429,1.52674,0.00736,0.00736,0.00736
82,18368.1,1.52964,1.5577,1.65141,0.84151,0.79544,0.85611,0.55972,1.22699,0.82461,1.52648,0.007327,0.007327,0.007327
83,18587.7,1.53293,1.59739,1.6665,0.84154,0.7958,0.85579,0.55809,1.22606,0.82359,1.52605,0.007294,0.007294,0.007294
84,18808.2,1.53497,1.59381,1.65451,0.84768,0.79485,0.85571,0.5583,1.22511,0.8231,1.52541,0.007261,0.007261,0.007261
85,19027.8,1.51479,1.57096,1.6451,0.8492,0.79528,0.85656,0.55879,1.22445,0.82069,1.52551,0.007228,0.007228,0.007228
86,19247.9,1.52136,1.5761,1.64796,0.85238,0.7958,0.85846,0.55987,1.22338,0.81991,1.52498,0.007195,0.007195,0.007195
87,19468.5,1.53051,1.60207,1.64936,0.84806,0.7958,0.85868,0.56039,1.22231,0.81799,1.5243,0.007162,0.007162,0.007162
88,19689.6,1.51334,1.61252,1.64291,0.85791,0.79771,0.86169,0.56144,1.22126,0.81734,1.52339,0.007129,0.007129,0.007129
89,19911,1.52472,1.55736,1.64078,0.85402,0.79485,0.85918,0.56132,1.22021,0.81505,1.52281,0.007096,0.007096,0.007096
90,20131.5,1.51466,1.57359,1.63652,0.85412,0.79103,0.85943,0.56218,1.21931,0.81376,1.52147,0.007063,0.007063,0.007063
91,20349.8,1.53429,1.60291,1.65168,0.85762,0.79198,0.85898,0.56264,1.21918,0.81226,1.52094,0.00703,0.00703,0.00703
92,20571.3,1.50811,1.54374,1.62204,0.85472,0.79103,0.85933,0.56343,1.21862,0.81164,1.51958,0.006997,0.006997,0.006997
93,20791.6,1.51615,1.5619,1.6421,0.85135,0.79242,0.85883,0.56353,1.21849,0.81103,1.5193,0.006964,0.006964,0.006964
94,21012.9,1.50679,1.54284,1.63582,0.8517,0.79458,0.85879,0.56329,1.21756,0.81143,1.51869,0.006931,0.006931,0.006931
95,21232.8,1.51494,1.54528,1.64735,0.85158,0.79388,0.85861,0.5635,1.21523,0.81014,1.51697,0.006898,0.006898,0.006898
96,21453.6,1.50919,1.55765,1.64751,0.85057,0.79294,0.85835,0.56358,1.2142,0.8105,1.51613,0.006865,0.006865,0.006865
97,21670.9,1.51143,1.52043,1.6363,0.8535,0.79485,0.85997,0.56416,1.21291,0.8103,1.5152,0.006832,0.006832,0.006832
