epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,8753.64,1.27561,0.81923,1.16228,0.87333,0.8296,0.87848,0.62913,1.22733,0.67965,1.14868,0.00693784,0.00693784,0.00693784
105,8837.59,1.26652,0.80861,1.14748,0.86885,0.83184,0.88063,0.63216,1.22448,0.68275,1.1437,0.00690811,0.00690811,0.00690811
106,8922.07,1.26662,0.80762,1.15203,0.85968,0.83333,0.87971,0.63201,1.22638,0.68767,1.14465,0.00687838,0.00687838,0.00687838
107,9006.49,1.27425,0.81793,1.16176,0.86459,0.83034,0.87954,0.63303,1.22293,0.67902,1.14173,0.00684865,0.00684865,0.00684865
108,9090.63,1.27135,0.82194,1.16454,0.86262,0.84006,0.88359,0.63096,1.2276,0.68418,1.145,0.00681892,0.00681892,0.00681892
109,9175.01,1.26324,0.81388,1.15295,0.84048,0.83483,0.87828,0.62869,1.21855,0.67926,1.14545,0.00678919,0.00678919,0.00678919
110,9258.88,1.2698,0.81875,1.16111,0.86288,0.80421,0.87373,0.62426,1.22696,0.674,1.1488,0.00675946,0.00675946,0.00675946
111,9342.8,1.25259,0.79558,1.14455,0.84415,0.84604,0.88094,0.62256,1.23442,0.67921,1.15336,0.00672973,0.00672973,0.00672973
112,9427.18,1.2488,0.79948,1.1406,0.86723,0.8296,0.88272,0.62799,1.22401,0.67396,1.15006,0.0067,0.0067,0.0067
113,9511.71,1.25713,0.7983,1.15005,0.86845,0.81614,0.87933,0.62679,1.22034,0.66899,1.14753,0.00667027,0.00667027,0.00667027
114,9595.93,1.24364,0.79656,1.13886,0.86626,0.81614,0.88176,0.62699,1.23515,0.67578,1.15478,0.00664054,0.00664054,0.00664054
115,9680.15,1.2552,0.79306,1.14909,0.84832,0.83184,0.87843,0.62996,1.23185,0.67213,1.15664,0.00661081,0.00661081,0.00661081
116,9764.16,1.25328,0.79852,1.14749,0.84871,0.83857,0.88155,0.63321,1.22945,0.66749,1.15506,0.00658108,0.00658108,0.00658108
117,9847.99,1.25213,0.79685,1.14797,0.86635,0.83034,0.88249,0.63113,1.22916,0.66773,1.15673,0.00655135,0.00655135,0.00655135
118,9932.01,1.22975,0.77884,1.14235,0.85822,0.85052,0.8864,0.63316,1.22667,0.66493,1.15629,0.00652162,0.00652162,0.00652162
119,10016,1.24152,0.79627,1.14641,0.84627,0.84753,0.88452,0.6338,1.2273,0.6604,1.15516,0.00649189,0.00649189,0.00649189
120,10100.3,1.25338,0.80041,1.1413,0.84489,0.84679,0.8842,0.63293,1.22463,0.65855,1.15201,0.00646216,0.00646216,0.00646216
121,10184,1.25271,0.79967,1.15191,0.84818,0.83632,0.88334,0.63387,1.22015,0.65958,1.14965,0.00643243,0.00643243,0.00643243
122,10267.8,1.23559,0.79515,1.14193,0.8369,0.84753,0.8819,0.63248,1.22401,0.66175,1.15335,0.0064027,0.0064027,0.0064027
123,10351.9,1.2309,0.77635,1.14219,0.84758,0.85202,0.88508,0.63551,1.21549,0.6573,1.1476,0.00637297,0.00637297,0.00637297
124,10436.3,1.23162,0.77464,1.13472,0.85034,0.85351,0.88569,0.63116,1.21794,0.65806,1.14918,0.00634324,0.00634324,0.00634324
125,10520.4,1.22734,0.76492,1.13241,0.85146,0.84828,0.88296,0.63273,1.21991,0.65776,1.14834,0.00631351,0.00631351,0.00631351
126,10604.7,1.24335,0.77665,1.13825,0.85139,0.85127,0.88485,0.63374,1.22121,0.65823,1.14785,0.00628378,0.00628378,0.00628378
127,10689.1,1.24506,0.78367,1.1397,0.85661,0.85277,0.88688,0.63563,1.21691,0.66099,1.14282,0.00625405,0.00625405,0.00625405
128,10773.3,1.21847,0.77151,1.13168,0.86191,0.84903,0.88437,0.63647,1.21456,0.66224,1.13868,0.00622432,0.00622432,0.00622432
129,10857.5,1.23286,0.78031,1.14019,0.85628,0.85052,0.88433,0.63641,1.2129,0.66906,1.13702,0.00619459,0.00619459,0.00619459
130,10941.8,1.22148,0.77129,1.1332,0.8536,0.84978,0.88437,0.63513,1.21465,0.66686,1.13796,0.00616486,0.00616486,0.00616486
131,11026.1,1.21366,0.76654,1.1299,0.85832,0.85575,0.88784,0.63642,1.21528,0.66795,1.13842,0.00613514,0.00613514,0.00613514
132,11110.1,1.21765,0.7715,1.12725,0.86026,0.85575,0.88823,0.63573,1.21922,0.66474,1.14014,0.00610541,0.00610541,0.00610541
133,11194.8,1.2145,0.77576,1.13335,0.86585,0.84903,0.88729,0.63751,1.21825,0.66019,1.13761,0.00607568,0.00607568,0.00607568
134,11281.1,1.21161,0.75089,1.12317,0.86105,0.84753,0.88614,0.63726,1.21763,0.65545,1.13544,0.00604595,0.00604595,0.00604595
135,11365.2,1.22089,0.76644,1.12949,0.85983,0.85277,0.88925,0.63824,1.21671,0.6569,1.13722,0.00601622,0.00601622,0.00601622
136,11449.4,1.21783,0.74967,1.13062,0.85468,0.85277,0.88846,0.63643,1.21366,0.65315,1.13797,0.00598649,0.00598649,0.00598649
137,11533.6,1.21295,0.7599,1.12496,0.85847,0.8565,0.8923,0.63783,1.21125,0.65671,1.13674,0.00595676,0.00595676,0.00595676
138,11617.8,1.21967,0.76869,1.13074,0.85259,0.86024,0.89263,0.63898,1.21471,0.65976,1.13678,0.00592703,0.00592703,0.00592703
139,11701.9,1.21151,0.76095,1.12371,0.85757,0.85501,0.89114,0.64054,1.21648,0.65757,1.13575,0.0058973,0.0058973,0.0058973
140,11786.1,1.22356,0.76398,1.13667,0.85778,0.8565,0.89296,0.63928,1.22026,0.65463,1.13922,0.00586757,0.00586757,0.00586757
141,11870.3,1.21804,0.76842,1.1202,0.85577,0.8565,0.89187,0.63908,1.22117,0.65946,1.1396,0.00583784,0.00583784,0.00583784
142,11954.7,1.21466,0.75635,1.11946,0.86233,0.85874,0.89358,0.63842,1.22192,0.66097,1.13987,0.00580811,0.00580811,0.00580811
143,12038.7,1.20398,0.75796,1.11407,0.86405,0.85202,0.89278,0.63856,1.22027,0.66077,1.14025,0.00577838,0.00577838,0.00577838
144,12122.6,1.19749,0.74534,1.11433,0.86647,0.85351,0.89312,0.64083,1.21939,0.65987,1.1409,0.00574865,0.00574865,0.00574865
145,12206.8,1.20245,0.75399,1.11644,0.85346,0.85749,0.89268,0.63968,1.21916,0.65921,1.14165,0.00571892,0.00571892,0.00571892
146,12290.9,1.20512,0.75091,1.11972,0.85887,0.85051,0.89067,0.63932,1.22103,0.66014,1.14189,0.00568919,0.00568919,0.00568919
147,12374.9,1.20931,0.74507,1.12929,0.85297,0.85419,0.89143,0.64032,1.21748,0.65972,1.14196,0.00565946,0.00565946,0.00565946
148,12459.3,1.2118,0.7571,1.13425,0.84871,0.85949,0.89032,0.64138,1.21923,0.66001,1.14265,0.00562973,0.00562973,0.00562973
149,12543.1,1.17457,0.73509,1.11343,0.84712,0.85725,0.88903,0.64174,1.21713,0.65836,1.1417,0.0056,0.0056,0.0056
150,12627.1,1.18427,0.73742,1.1123,0.84661,0.858,0.88954,0.64067,1.21238,0.65556,1.14015,0.00557027,0.00557027,0.00557027
151,12711.2,1.1903,0.74133,1.11302,0.84728,0.86248,0.89152,0.64128,1.2122,0.65289,1.14048,0.00554054,0.00554054,0.00554054
152,12795.4,1.19628,0.74544,1.11019,0.85338,0.85202,0.88961,0.64228,1.21093,0.65336,1.14025,0.00551081,0.00551081,0.00551081
153,12879.6,1.1685,0.72515,1.0979,0.85849,0.84903,0.89069,0.64159,1.21079,0.65009,1.14118,0.00548108,0.00548108,0.00548108
154,12963.6,1.18294,0.73537,1.10536,0.86249,0.85052,0.89269,0.6426,1.21126,0.64921,1.14145,0.00545135,0.00545135,0.00545135
155,13047.8,1.18032,0.73358,1.11282,0.86658,0.84903,0.89325,0.64302,1.21282,0.64898,1.14224,0.00542162,0.00542162,0.00542162
156,13131.9,1.18851,0.73908,1.11143,0.86786,0.84429,0.89282,0.64171,1.21344,0.64822,1.14141,0.00539189,0.00539189,0.00539189
157,13215.8,1.1718,0.72703,1.10828,0.87001,0.84155,0.89192,0.6419,1.21161,0.64681,1.14123,0.00536216,0.00536216,0.00536216
158,13300,1.18565,0.737,1.11311,0.8711,0.83931,0.89185,0.64291,1.21022,0.64546,1.14023,0.00533243,0.00533243,0.00533243
159,13384.3,1.18305,0.72507,1.11317,0.86687,0.8438,0.89219,0.64329,1.21016,0.64211,1.14111,0.0053027,0.0053027,0.0053027
160,13468.5,1.1812,0.72446,1.10757,0.85974,0.84454,0.88918,0.64142,1.21093,0.6409,1.14204,0.00527297,0.00527297,0.00527297
161,13552.6,1.17619,0.73892,1.11324,0.85247,0.85074,0.89072,0.641,1.21018,0.64154,1.14131,0.00524324,0.00524324,0.00524324
162,13636.8,1.17719,0.72758,1.10457,0.85588,0.84903,0.89028,0.64103,1.21159,0.64056,1.14216,0.00521351,0.00521351,0.00521351
163,13720.9,1.15866,0.71322,1.09301,0.85577,0.84305,0.88838,0.63997,1.21293,0.64107,1.14251,0.00518378,0.00518378,0.00518378
164,13804.8,1.17701,0.72744,1.10287,0.84234,0.86248,0.89088,0.64092,1.21372,0.64145,1.14295,0.00515405,0.00515405,0.00515405
165,13889,1.16478,0.71568,1.09856,0.85334,0.85236,0.89061,0.6411,1.21334,0.6419,1.14255,0.00512432,0.00512432,0.00512432
166,13973.2,1.14771,0.71621,1.08913,0.85262,0.84903,0.88949,0.64089,1.21346,0.64411,1.14277,0.00509459,0.00509459,0.00509459
167,14057.2,1.16588,0.72146,1.09457,0.85796,0.85325,0.89102,0.64209,1.213,0.64607,1.14258,0.00506486,0.00506486,0.00506486
168,14141.5,1.16162,0.71711,1.0972,0.86408,0.84903,0.89202,0.64198,1.21368,0.6469,1.14311,0.00503514,0.00503514,0.00503514
169,14225.7,1.15835,0.71129,1.09007,0.85919,0.85351,0.89421,0.64195,1.21127,0.64467,1.14148,0.00500541,0.00500541,0.00500541
170,14309.9,1.16959,0.727,1.10694,0.85937,0.85277,0.8933,0.64205,1.21101,0.64593,1.14267,0.00497568,0.00497568,0.00497568
171,14394.2,1.16277,0.72015,1.1005,0.862,0.84967,0.89445,0.64069,1.21027,0.6459,1.1427,0.00494595,0.00494595,0.00494595
172,14478.3,1.15613,0.71596,1.08802,0.86013,0.85052,0.89342,0.64101,1.21227,0.64908,1.14394,0.00491622,0.00491622,0.00491622
173,14562.4,1.1605,0.71959,1.0925,0.86133,0.84488,0.89055,0.63927,1.21308,0.64782,1.14489,0.00488649,0.00488649,0.00488649
174,14646.5,1.14661,0.69537,1.0909,0.86524,0.84679,0.89222,0.64012,1.2116,0.64672,1.14405,0.00485676,0.00485676,0.00485676
175,14728,1.13367,0.69854,1.0868,0.86212,0.85053,0.8937,0.64077,1.2115,0.64698,1.14422,0.00482703,0.00482703,0.00482703
176,14807.9,1.15189,0.70458,1.09285,0.86026,0.85202,0.8925,0.64099,1.21112,0.64482,1.14373,0.0047973,0.0047973,0.0047973
177,14887.9,1.13374,0.6984,1.0922,0.86338,0.85277,0.8933,0.64143,1.21219,0.64459,1.14429,0.00476757,0.00476757,0.00476757
178,14967.7,1.14373,0.70267,1.08151,0.86583,0.85127,0.89379,0.64096,1.21161,0.64316,1.14328,0.00473784,0.00473784,0.00473784
179,15047.5,1.13308,0.68731,1.07978,0.86571,0.85279,0.89335,0.63942,1.21198,0.64272,1.1433,0.00470811,0.00470811,0.00470811
180,15127.4,1.14336,0.70732,1.08659,0.8649,0.85165,0.89379,0.63903,1.21258,0.64189,1.14319,0.00467838,0.00467838,0.00467838
181,15207.2,1.13932,0.70122,1.09113,0.86463,0.84973,0.89331,0.63942,1.2128,0.64225,1.14309,0.00464865,0.00464865,0.00464865
182,15286.9,1.13532,0.69584,1.08089,0.86428,0.85197,0.89426,0.63903,1.2127,0.64194,1.14292,0.00461892,0.00461892,0.00461892
